401 Q0 LA030690-0168   1 14.347982 z22shaikAND
401 Q0 LA051489-0081  99 10.323339 z22shaikAND
401 Q0 LA091589-0048 100 10.313988 z22shaikAND
402 Q0 LA101290-0115   1 17.341512 z22shaikAND
402 Q0 LA100890-0105   2 14.704728 z22shaikAND
402 Q0 LA020789-0112   3 14.092669 z22shaikAND
402 Q0 LA072489-0053   4 13.936180 z22shaikAND
402 Q0 LA042990-0032   5 13.191322 z22shaikAND
402 Q0 LA101690-0121   6 12.917538 z22shaikAND
402 Q0 LA031790-0020   7 12.809941 z22shaikAND
402 Q0 LA030690-0022   8 12.706147 z22shaikAND
402 Q0 LA091789-0146   9 12.437458 z22shaikAND
402 Q0 LA061190-0015  10 12.135921 z22shaikAND
402 Q0 LA091589-0015  11 12.017141 z22shaikAND
402 Q0 LA062590-0042  12 11.540703 z22shaikAND
402 Q0 LA082089-0193  13 11.403322 z22shaikAND
402 Q0 LA042890-0164  14 11.380851 z22shaikAND
402 Q0 LA022189-0096  15 11.090765 z22shaikAND
402 Q0 LA121989-0030  16 11.085236 z22shaikAND
402 Q0 LA062089-0028  17 10.965733 z22shaikAND
402 Q0 LA052290-0110  18 10.957680 z22shaikAND
402 Q0 LA091089-0104  19 10.921937 z22shaikAND
402 Q0 LA012990-0011  20 10.839823 z22shaikAND
402 Q0 LA013089-0072  21 10.677217 z22shaikAND
402 Q0 LA021089-0095  22 10.633945 z22shaikAND
402 Q0 LA092889-0073  23 10.627923 z22shaikAND
402 Q0 LA042690-0126  24 10.589818 z22shaikAND
402 Q0 LA111289-0077  25 10.497524 z22shaikAND
402 Q0 LA032390-0055  26 10.464636 z22shaikAND
402 Q0 LA092189-0149  27 10.416619 z22shaikAND
402 Q0 LA093089-0127  28 10.415029 z22shaikAND
402 Q0 LA012589-0092  29 10.407125 z22shaikAND
402 Q0 LA122589-0046  30 10.379014 z22shaikAND
402 Q0 LA011690-0092  31 10.370213 z22shaikAND
402 Q0 LA122689-0049  32 10.353872 z22shaikAND
402 Q0 LA020389-0077  33 10.317335 z22shaikAND
402 Q0 LA110490-0092  34 10.268991 z22shaikAND
402 Q0 LA020789-0113  35 10.250711 z22shaikAND
402 Q0 LA092189-0192  36 10.213878 z22shaikAND
402 Q0 LA101789-0150  37 10.200546 z22shaikAND
402 Q0 LA100889-0043  38 10.189369 z22shaikAND
402 Q0 LA100590-0008  39 10.189236 z22shaikAND
402 Q0 LA051190-0104  40 10.188240 z22shaikAND
402 Q0 LA062589-0077  41 10.186724 z22shaikAND
402 Q0 LA080190-0099  42 10.185608 z22shaikAND
402 Q0 LA060589-0049  43 10.157915 z22shaikAND
402 Q0 LA050789-0122  44 10.133155 z22shaikAND
402 Q0 LA121289-0055  45 10.119940 z22shaikAND
402 Q0 LA050789-0167  46 10.117344 z22shaikAND
402 Q0 LA040889-0050  47 10.105280 z22shaikAND
402 Q0 LA031090-0007  48 10.096942 z22shaikAND
402 Q0 LA120389-0120  49 10.090333 z22shaikAND
402 Q0 LA101589-0047  50 10.076950 z22shaikAND
402 Q0 LA041689-0113  51 10.044296 z22shaikAND
402 Q0 LA073090-0058  52 10.043919 z22shaikAND
402 Q0 LA040389-0015  53 10.035488 z22shaikAND
402 Q0 LA042390-0090  54  9.989990 z22shaikAND
402 Q0 LA010989-0047  55  9.970523 z22shaikAND
402 Q0 LA073090-0057  56  9.965668 z22shaikAND
402 Q0 LA121189-0004  57  9.962586 z22shaikAND
402 Q0 LA090289-0066  58  9.898192 z22shaikAND
402 Q0 LA123190-0047  59  9.883851 z22shaikAND
402 Q0 LA112690-0069  60  9.864431 z22shaikAND
402 Q0 LA012589-0094  61  9.853285 z22shaikAND
402 Q0 LA111689-0161  62  9.836529 z22shaikAND
402 Q0 LA011590-0097  63  9.817475 z22shaikAND
402 Q0 LA101889-0117  64  9.790378 z22shaikAND
402 Q0 LA113089-0159  65  9.727735 z22shaikAND
402 Q0 LA100990-0158  66  9.718924 z22shaikAND
402 Q0 LA092790-0237  67  9.714951 z22shaikAND
402 Q0 LA012089-0018  68  9.691311 z22shaikAND
402 Q0 LA042990-0020  69  9.655544 z22shaikAND
402 Q0 LA073090-0056  70  9.641723 z22shaikAND
402 Q0 LA082590-0108  71  9.620981 z22shaikAND
402 Q0 LA090789-0104  72  9.618368 z22shaikAND
402 Q0 LA011289-0200  73  9.594437 z22shaikAND
402 Q0 LA102989-0082  74  9.587179 z22shaikAND
402 Q0 LA101389-0148  75  9.550216 z22shaikAND
402 Q0 LA062689-0028  76  9.546930 z22shaikAND
402 Q0 LA031690-0082  77  9.543160 z22shaikAND
402 Q0 LA021290-0063  78  9.520285 z22shaikAND
402 Q0 LA101890-0055  79  9.503391 z22shaikAND
402 Q0 LA051389-0010  80  9.487186 z22shaikAND
402 Q0 LA071689-0143  81  9.485324 z22shaikAND
402 Q0 LA103190-0163  82  9.460873 z22shaikAND
402 Q0 LA011490-0002  83  9.395505 z22shaikAND
402 Q0 LA092890-0154  84  9.362349 z22shaikAND
402 Q0 LA101290-0131  85  9.361503 z22shaikAND
402 Q0 LA112189-0147  86  9.320575 z22shaikAND
402 Q0 LA052489-0148  87  9.293329 z22shaikAND
402 Q0 LA102390-0121  88  9.291972 z22shaikAND
402 Q0 LA052389-0108  89  9.278905 z22shaikAND
402 Q0 LA111689-0162  90  9.262509 z22shaikAND
402 Q0 LA011290-0146  91  9.253732 z22shaikAND
402 Q0 LA081789-0067  92  9.249710 z22shaikAND
402 Q0 LA061590-0161  93  9.249593 z22shaikAND
402 Q0 LA020590-0055  94  9.211763 z22shaikAND
402 Q0 LA070590-0178  95  9.206890 z22shaikAND
402 Q0 LA121790-0086  96  9.194422 z22shaikAND
402 Q0 LA040990-0060  97  9.187629 z22shaikAND
402 Q0 LA100589-0130  98  9.177285 z22shaikAND
402 Q0 LA102390-0050  99  9.173961 z22shaikAND
402 Q0 LA070390-0042 100  9.153006 z22shaikAND
403 Q0 LA030689-0082   1 15.922450 z22shaikAND
403 Q0 LA071290-0133   2 15.739622 z22shaikAND
403 Q0 LA083089-0024   3 15.112921 z22shaikAND
403 Q0 LA011389-0029   4 14.799796 z22shaikAND
403 Q0 LA020490-0136   5 14.673996 z22shaikAND
403 Q0 LA010790-0103   6 14.452582 z22shaikAND
403 Q0 LA051490-0120   7 12.848578 z22shaikAND
403 Q0 LA032290-0151   8 12.225947 z22shaikAND
403 Q0 LA111589-0004   9 11.946005 z22shaikAND
403 Q0 LA010390-0067  10 11.767113 z22shaikAND
403 Q0 LA120689-0083  11 11.577028 z22shaikAND
403 Q0 LA041990-0072  12 11.116255 z22shaikAND
403 Q0 LA042589-0052  13 10.969485 z22shaikAND
403 Q0 LA051889-0006  14 10.755405 z22shaikAND
403 Q0 LA052290-0110  15 10.439624 z22shaikAND
403 Q0 LA022790-0099  16 10.325990 z22shaikAND
403 Q0 LA082390-0094  17 10.315373 z22shaikAND
403 Q0 LA042189-0027  18  9.908916 z22shaikAND
403 Q0 LA080289-0067  19  9.319624 z22shaikAND
403 Q0 LA080190-0135  20  9.275885 z22shaikAND
403 Q0 LA101890-0267  21  9.082754 z22shaikAND
403 Q0 LA110890-0217  22  9.054692 z22shaikAND
403 Q0 LA021590-0062  23  9.049984 z22shaikAND
403 Q0 LA012990-0041  24  8.905397 z22shaikAND
403 Q0 LA042689-0065  25  8.897500 z22shaikAND
403 Q0 LA010490-0218  26  8.780701 z22shaikAND
403 Q0 LA072289-0144  27  8.527534 z22shaikAND
403 Q0 LA020990-0100  28  8.186085 z22shaikAND
403 Q0 LA033089-0019  29  8.016041 z22shaikAND
403 Q0 LA082890-0074  30  7.812775 z22shaikAND
403 Q0 LA010689-0040  31  7.637714 z22shaikAND
403 Q0 LA120390-0005  32  7.153095 z22shaikAND
403 Q0 LA110189-0018  33  7.147999 z22shaikAND
403 Q0 LA033089-0013  34  6.582600 z22shaikAND
403 Q0 LA110490-0091  35  6.283969 z22shaikAND
403 Q0 LA050290-0050  36  6.268266 z22shaikAND
403 Q0 LA092890-0067  37  6.221623 z22shaikAND
403 Q0 LA042690-0002  38  5.889299 z22shaikAND
403 Q0 LA032489-0093  39  5.418579 z22shaikAND
403 Q0 LA120490-0022  40  4.785405 z22shaikAND
403 Q0 LA111989-0048  41  4.737950 z22shaikAND
403 Q0 LA120490-0023  42  4.724564 z22shaikAND
403 Q0 LA111689-0032  43  3.974147 z22shaikAND
403 Q0 LA011289-0149  44  3.138705 z22shaikAND
404 Q0 LA070390-0077   1 17.102801 z22shaikAND
404 Q0 LA022490-0037   2 13.618931 z22shaikAND
404 Q0 LA121090-0081   3 13.570258 z22shaikAND
404 Q0 LA021890-0110   4 13.401993 z22shaikAND
404 Q0 LA111290-0101   5 13.340867 z22shaikAND
404 Q0 LA112590-0015   6 13.232253 z22shaikAND
404 Q0 LA092190-0154   7 13.074352 z22shaikAND
404 Q0 LA051589-0022   8 12.726011 z22shaikAND
404 Q0 LA040890-0051   9 11.981310 z22shaikAND
404 Q0 LA070190-0074  10 11.970002 z22shaikAND
404 Q0 LA121690-0046  11 11.866297 z22shaikAND
404 Q0 LA081490-0005  12 11.764006 z22shaikAND
404 Q0 LA040190-0034  13 11.754925 z22shaikAND
404 Q0 LA092389-0092  14 11.705944 z22shaikAND
404 Q0 LA051990-0162  15 11.672891 z22shaikAND
404 Q0 LA123189-0069  16 11.454640 z22shaikAND
404 Q0 LA060290-0120  17 11.241299 z22shaikAND
404 Q0 LA031790-0147  18 11.194903 z22shaikAND
404 Q0 LA071989-0042  19 11.183123 z22shaikAND
404 Q0 LA070289-0091  20 11.161684 z22shaikAND
404 Q0 LA040989-0225  21 11.144499 z22shaikAND
404 Q0 LA081690-0219  22 11.062109 z22shaikAND
404 Q0 LA042589-0053  23 11.040728 z22shaikAND
404 Q0 LA030190-0131  24 10.953999 z22shaikAND
404 Q0 LA031190-0041  25 10.891811 z22shaikAND
404 Q0 LA081389-0107  26 10.858345 z22shaikAND
404 Q0 LA103089-0034  27 10.814505 z22shaikAND
404 Q0 LA070789-0010  28 10.699667 z22shaikAND
404 Q0 LA073089-0059  29 10.683685 z22shaikAND
404 Q0 LA050789-0126  30 10.584600 z22shaikAND
404 Q0 LA081290-0124  31 10.578068 z22shaikAND
404 Q0 LA021390-0002  32 10.526816 z22shaikAND
404 Q0 LA051090-0264  33 10.520383 z22shaikAND
404 Q0 LA031190-0201  34 10.515763 z22shaikAND
404 Q0 LA050389-0044  35 10.506450 z22shaikAND
404 Q0 LA091890-0101  36 10.478706 z22shaikAND
404 Q0 LA091589-0013  37 10.474138 z22shaikAND
404 Q0 LA040689-0041  38 10.439202 z22shaikAND
404 Q0 LA110989-0125  39 10.330346 z22shaikAND
404 Q0 LA102590-0132  40 10.300974 z22shaikAND
404 Q0 LA110489-0064  41 10.294465 z22shaikAND
404 Q0 LA120789-0237  42 10.269663 z22shaikAND
404 Q0 LA101289-0040  43 10.161283 z22shaikAND
404 Q0 LA110890-0015  44 10.159388 z22shaikAND
404 Q0 LA062590-0128  45 10.142630 z22shaikAND
404 Q0 LA060390-0074  46 10.131292 z22shaikAND
404 Q0 LA110890-0014  47 10.128315 z22shaikAND
404 Q0 LA050990-0161  48 10.125931 z22shaikAND
404 Q0 LA011490-0084  49 10.102565 z22shaikAND
404 Q0 LA110490-0183  50 10.100763 z22shaikAND
404 Q0 LA082690-0109  51 10.092824 z22shaikAND
404 Q0 LA062190-0158  52 10.082517 z22shaikAND
404 Q0 LA060789-0148  53 10.049109 z22shaikAND
404 Q0 LA123190-0039  54 10.046957 z22shaikAND
404 Q0 LA021289-0068  55 10.033047 z22shaikAND
404 Q0 LA022090-0012  56  9.980767 z22shaikAND
404 Q0 LA092290-0135  57  9.980767 z22shaikAND
404 Q0 LA111389-0059  58  9.965850 z22shaikAND
404 Q0 LA110390-0154  59  9.943495 z22shaikAND
404 Q0 LA111289-0203  60  9.917590 z22shaikAND
404 Q0 LA012390-0095  61  9.911474 z22shaikAND
404 Q0 LA120489-0122  62  9.911064 z22shaikAND
404 Q0 LA031790-0149  63  9.900208 z22shaikAND
404 Q0 LA092989-0186  64  9.886406 z22shaikAND
404 Q0 LA100990-0061  65  9.860753 z22shaikAND
404 Q0 LA022490-0050  66  9.860337 z22shaikAND
404 Q0 LA091689-0136  67  9.851056 z22shaikAND
404 Q0 LA092089-0009  68  9.818243 z22shaikAND
404 Q0 LA072389-0029  69  9.816162 z22shaikAND
404 Q0 LA083090-0096  70  9.806861 z22shaikAND
404 Q0 LA022790-0090  71  9.786256 z22shaikAND
404 Q0 LA122889-0198  72  9.760136 z22shaikAND
404 Q0 LA082389-0026  73  9.759769 z22shaikAND
404 Q0 LA110589-0227  74  9.732044 z22shaikAND
404 Q0 LA030490-0206  75  9.693114 z22shaikAND
404 Q0 LA082190-0088  76  9.683899 z22shaikAND
404 Q0 LA102690-0181  77  9.679304 z22shaikAND
404 Q0 LA030690-0169  78  9.678376 z22shaikAND
404 Q0 LA081690-0013  79  9.675071 z22shaikAND
404 Q0 LA101789-0051  80  9.645567 z22shaikAND
404 Q0 LA092990-0050  81  9.637050 z22shaikAND
404 Q0 LA090689-0068  82  9.630023 z22shaikAND
404 Q0 LA110990-0155  83  9.618745 z22shaikAND
404 Q0 LA051890-0106  84  9.611054 z22shaikAND
404 Q0 LA011189-0092  85  9.603624 z22shaikAND
404 Q0 LA112689-0094  86  9.598880 z22shaikAND
404 Q0 LA120689-0089  87  9.598802 z22shaikAND
404 Q0 LA100889-0147  88  9.595824 z22shaikAND
404 Q0 LA040490-0152  89  9.570242 z22shaikAND
404 Q0 LA062789-0071  90  9.569921 z22shaikAND
404 Q0 LA092289-0095  91  9.569481 z22shaikAND
404 Q0 LA050690-0088  92  9.549583 z22shaikAND
404 Q0 LA042789-0208  93  9.549224 z22shaikAND
404 Q0 LA081790-0125  94  9.542932 z22shaikAND
404 Q0 LA112490-0099  95  9.541819 z22shaikAND
404 Q0 LA111189-0074  96  9.515719 z22shaikAND
404 Q0 LA102090-0078  97  9.507574 z22shaikAND
404 Q0 LA010690-0090  98  9.503739 z22shaikAND
404 Q0 LA061490-0034  99  9.501886 z22shaikAND
404 Q0 LA112290-0146 100  9.484942 z22shaikAND
405 Q0 LA012289-0002   1 14.460916 z22shaikAND
405 Q0 LA063089-0071   2 12.295619 z22shaikAND
405 Q0 LA010889-0109   3 12.278417 z22shaikAND
405 Q0 LA031290-0034   4 11.947332 z22shaikAND
405 Q0 LA031389-0056   5 11.655454 z22shaikAND
405 Q0 LA021690-0057   6 11.518631 z22shaikAND
405 Q0 LA042089-0083   7 11.194200 z22shaikAND
405 Q0 LA111789-0134   8 10.768146 z22shaikAND
405 Q0 LA122989-0137   9 10.761204 z22shaikAND
405 Q0 LA121589-0173  10 10.747347 z22shaikAND
405 Q0 LA061490-0089  11 10.352218 z22shaikAND
405 Q0 LA121690-0039  12 10.321042 z22shaikAND
405 Q0 LA020190-0053  13  9.877761 z22shaikAND
405 Q0 LA050990-0163  14  9.663775 z22shaikAND
405 Q0 LA040390-0040  15  9.565367 z22shaikAND
405 Q0 LA033090-0013  16  9.465027 z22shaikAND
405 Q0 LA091789-0029  17  9.455754 z22shaikAND
405 Q0 LA100690-0017  18  9.445054 z22shaikAND
405 Q0 LA080289-0090  19  9.370822 z22shaikAND
405 Q0 LA050190-0030  20  9.308117 z22shaikAND
405 Q0 LA101089-0028  21  9.287402 z22shaikAND
405 Q0 LA041689-0021  22  9.105790 z22shaikAND
405 Q0 LA090190-0129  23  8.995663 z22shaikAND
405 Q0 LA011590-0098  24  8.853901 z22shaikAND
405 Q0 LA052689-0067  25  8.853901 z22shaikAND
405 Q0 LA110589-0073  26  8.807186 z22shaikAND
405 Q0 LA102189-0046  27  8.753420 z22shaikAND
405 Q0 LA122289-0092  28  8.751775 z22shaikAND
405 Q0 LA052090-0005  29  8.733460 z22shaikAND
405 Q0 LA020990-0080  30  8.651979 z22shaikAND
405 Q0 LA030290-0047  31  8.651979 z22shaikAND
405 Q0 LA051390-0105  32  8.625156 z22shaikAND
405 Q0 LA102789-0168  33  8.545675 z22shaikAND
405 Q0 LA102089-0149  34  8.476245 z22shaikAND
405 Q0 LA020990-0063  35  8.467645 z22shaikAND
405 Q0 LA030990-0180  36  8.433421 z22shaikAND
405 Q0 LA030990-0089  37  8.391027 z22shaikAND
405 Q0 LA120990-0212  38  8.357418 z22shaikAND
405 Q0 LA031690-0075  39  8.274562 z22shaikAND
405 Q0 LA081190-0002  40  8.189545 z22shaikAND
405 Q0 LA033089-0217  41  8.105802 z22shaikAND
405 Q0 LA021789-0023  42  8.035565 z22shaikAND
405 Q0 LA100790-0133  43  8.035565 z22shaikAND
405 Q0 LA021790-0058  44  8.020908 z22shaikAND
405 Q0 LA010790-0016  45  8.019109 z22shaikAND
405 Q0 LA012289-0015  46  8.001488 z22shaikAND
405 Q0 LA062389-0120  47  7.981773 z22shaikAND
405 Q0 LA061790-0010  48  7.966535 z22shaikAND
405 Q0 LA072489-0020  49  7.906164 z22shaikAND
405 Q0 LA061990-0118  50  7.898681 z22shaikAND
405 Q0 LA071589-0052  51  7.898681 z22shaikAND
405 Q0 LA110290-0084  52  7.569696 z22shaikAND
405 Q0 LA102690-0043  53  7.559411 z22shaikAND
405 Q0 LA012190-0066  54  7.518248 z22shaikAND
405 Q0 LA031690-0187  55  7.501143 z22shaikAND
405 Q0 LA091789-0133  56  7.488759 z22shaikAND
405 Q0 LA042990-0076  57  7.427711 z22shaikAND
405 Q0 LA120189-0046  58  7.414514 z22shaikAND
405 Q0 LA091589-0072  59  7.392108 z22shaikAND
405 Q0 LA082089-0061  60  7.328374 z22shaikAND
405 Q0 LA112489-0085  61  7.298165 z22shaikAND
405 Q0 LA071290-0048  62  7.244460 z22shaikAND
405 Q0 LA030489-0032  63  7.215796 z22shaikAND
405 Q0 LA091690-0204  64  7.138743 z22shaikAND
405 Q0 LA032090-0016  65  7.105224 z22shaikAND
405 Q0 LA122289-0155  66  7.099181 z22shaikAND
405 Q0 LA060889-0110  67  7.033827 z22shaikAND
405 Q0 LA041690-0067  68  7.033374 z22shaikAND
405 Q0 LA100890-0071  69  6.980878 z22shaikAND
405 Q0 LA120189-0127  70  6.897229 z22shaikAND
405 Q0 LA012690-0038  71  6.888255 z22shaikAND
405 Q0 LA092390-0062  72  6.874344 z22shaikAND
405 Q0 LA092489-0134  73  6.657892 z22shaikAND
405 Q0 LA073189-0012  74  6.552945 z22shaikAND
405 Q0 LA090990-0056  75  6.528477 z22shaikAND
405 Q0 LA060290-0131  76  6.522220 z22shaikAND
405 Q0 LA100790-0179  77  6.512043 z22shaikAND
405 Q0 LA112690-0067  78  6.501897 z22shaikAND
405 Q0 LA060890-0098  79  6.481699 z22shaikAND
405 Q0 LA062890-0100  80  6.416915 z22shaikAND
405 Q0 LA031790-0050  81  6.334126 z22shaikAND
405 Q0 LA042390-0004  82  6.204854 z22shaikAND
405 Q0 LA051890-0027  83  6.183947 z22shaikAND
405 Q0 LA053189-0018  84  6.089202 z22shaikAND
405 Q0 LA111190-0024  85  6.089202 z22shaikAND
405 Q0 LA071089-0089  86  6.074683 z22shaikAND
405 Q0 LA071089-0064  87  6.074200 z22shaikAND
405 Q0 LA081089-0150  88  6.058262 z22shaikAND
405 Q0 LA122689-0094  89  6.045099 z22shaikAND
405 Q0 LA061289-0082  90  6.036355 z22shaikAND
405 Q0 LA091789-0143  91  6.011176 z22shaikAND
405 Q0 LA011790-0033  92  5.862514 z22shaikAND
405 Q0 LA050490-0029  93  5.785304 z22shaikAND
405 Q0 LA040490-0014  94  5.761343 z22shaikAND
405 Q0 LA060789-0019  95  5.717925 z22shaikAND
405 Q0 LA100889-0013  96  5.714315 z22shaikAND
405 Q0 LA101690-0023  97  5.655928 z22shaikAND
405 Q0 LA112789-0073  98  5.580297 z22shaikAND
405 Q0 LA100490-0173  99  5.539556 z22shaikAND
405 Q0 LA051090-0001 100  5.410283 z22shaikAND
406 Q0 LA051790-0095   1 18.035215 z22shaikAND
406 Q0 LA080489-0045   2 17.898463 z22shaikAND
406 Q0 LA121189-0042   3 17.773764 z22shaikAND
406 Q0 LA111589-0149   4 17.508953 z22shaikAND
406 Q0 LA101090-0147   5 16.323290 z22shaikAND
406 Q0 LA111689-0161   6 16.229030 z22shaikAND
406 Q0 LA061889-0114   7 16.129746 z22shaikAND
406 Q0 LA091990-0010   8 15.300850 z22shaikAND
406 Q0 LA010890-0101   9 15.110521 z22shaikAND
406 Q0 LA020589-0173  10 15.085149 z22shaikAND
406 Q0 LA072490-0177  11 14.933942 z22shaikAND
406 Q0 LA121789-0114  12 14.793647 z22shaikAND
406 Q0 LA102890-0062  13 14.566082 z22shaikAND
406 Q0 LA110689-0008  14 14.308806 z22shaikAND
406 Q0 LA060489-0026  15 14.199036 z22shaikAND
406 Q0 LA041189-0011  16 14.066943 z22shaikAND
406 Q0 LA080990-0148  17 13.916308 z22shaikAND
406 Q0 LA092790-0006  18 13.818068 z22shaikAND
406 Q0 LA101689-0105  19 13.419936 z22shaikAND
406 Q0 LA091489-0042  20 13.399335 z22shaikAND
406 Q0 LA072289-0145  21 13.327983 z22shaikAND
406 Q0 LA010990-0174  22 13.320511 z22shaikAND
406 Q0 LA092889-0225  23 13.119822 z22shaikAND
406 Q0 LA011590-0099  24 13.078623 z22shaikAND
406 Q0 LA041889-0134  25 12.997565 z22shaikAND
406 Q0 LA090790-0169  26 12.661175 z22shaikAND
406 Q0 LA100490-0191  27 12.660351 z22shaikAND
406 Q0 LA091589-0166  28 12.463901 z22shaikAND
406 Q0 LA042490-0143  29 12.390249 z22shaikAND
406 Q0 LA021890-0038  30 12.379464 z22shaikAND
406 Q0 LA032290-0005  31 12.360378 z22shaikAND
406 Q0 LA010690-0138  32 11.778966 z22shaikAND
406 Q0 LA081689-0001  33 11.764728 z22shaikAND
406 Q0 LA040190-0221  34 11.226671 z22shaikAND
406 Q0 LA052589-0194  35 11.159174 z22shaikAND
406 Q0 LA042689-0019  36 11.142764 z22shaikAND
406 Q0 LA092990-0073  37 11.116279 z22shaikAND
